timestamp,temperatura,humedad_relativa,precipitacion,velocidad_viento,radiacion_solar,nubosidad,generacion,codigo_postal,calificacion_num_media,calificacion_num_n_edificios,superficie_util_media,superficie_util_n_edificios,anyo_construccion_media,anyo_construccion_n_edificios,emisiones_co2_media,emisiones_co2_n_edificios,consumo_energia_primaria_media,consumo_energia_primaria_n_edificios,hour_local,sin_hour,cos_hour,day_of_year,sin_day_of_year,cos_day_of_year,month,sin_month,cos_month,day_of_week,is_weekend,is_daylight,solar_elevation,solar_azimuth,generacion_lag_1h,generacion_lag_3h,generacion_lag_24h,generacion_lag_168h,rolling_mean_7d,rolling_mean_24h,rolling_std_24h,rolling_max_24h,rad_solar_daylight,elev_x_rad,temp_squared,temp_high_flag,humedad_x_rad
2023-06-29 02:00:00,16.3,99.0,0.0,4.4,0.0,86.0,0.0,48001,3.618391433284647,288.45,119.70265865841546,288.45,1986.0789864700976,288.45,44.78413006432926,288.45,150.6796646000618,288.45,2,0.49999999999999994,0.8660254037844387,180,0.04302223300453059,-0.99907411510223,6,1.2246467991473532e-16,-1.0,3,0,0,-19.235032028466676,25.47058806559204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,265.69,0,0.0
2023-06-29 03:00:00,16.3,100.0,0.0,3.1,0.0,31.0,0.0,48001,3.618391433284647,288.45,119.70265865841546,288.45,1986.0789864700976,288.45,44.78413006432926,288.45,150.6796646000618,288.45,3,0.7071067811865475,0.7071067811865476,180,0.04302223300453059,-0.99907411510223,6,1.2246467991473532e-16,-1.0,3,0,0,-13.43731927789436,38.505026950279415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,265.69,0,0.0
2023-06-29 04:00:00,16.2,100.0,0.0,2.9,0.0,100.0,0.0,48001,3.618391433284647,288.45,119.70265865841546,288.45,1986.0789864700976,288.45,44.78413006432926,288.45,150.6796646000618,288.45,4,0.8660254037844386,0.5000000000000001,180,0.04302223300453059,-0.99907411510223,6,1.2246467991473532e-16,-1.0,3,0,0,-5.773283300274812,50.14635823315959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,262.44,0,0.0
2023-06-29 05:00:00,16.6,99.0,0.0,2.7,0.0,94.0,0.0,48001,3.618391433284647,288.45,119.70265865841546,288.45,1986.0789864700976,288.45,44.78413006432926,288.45,150.6796646000618,288.45,5,0.9659258262890683,0.25881904510252074,180,0.04302223300453059,-0.99907411510223,6,1.2246467991473532e-16,-1.0,3,0,1,3.3743317527938217,60.60299497014729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.56000000000006,0,0.0
2023-06-29 06:00:00,16.7,98.0,0.0,2.6,0.0,100.0,0.0,48001,3.618391433284647,288.45,119.70265865841546,288.45,1986.0789864700976,288.45,44.78413006432926,288.45,150.6796646000618,288.45,6,1.0,6.123233995736766e-17,180,0.04302223300453059,-0.99907411510223,6,1.2246467991473532e-16,-1.0,3,0,1,13.14409287871895,70.26608510806766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.89,0,0.0
2023-06-29 07:00:00,18.2,93.0,0.1,2.9,1.0,100.0,0.0017999999999999,48001,3.618391433284647,288.45,119.70265865841546,288.45,1986.0789864700976,288.45,44.78413006432926,288.45,150.6796646000618,288.45,7,0.9659258262890683,-0.25881904510252063,180,0.04302223300453059,-0.99907411510223,6,1.2246467991473532e-16,-1.0,3,0,1,23.646842537422415,79.63601847450565,0.0,0.0,0.0,0.0,0.00029999999999998333,0.00029999999999998333,0.0007348469228349126,0.0017999999999999,1.0,0.023646842537422417,331.23999999999995,0,0.93
2023-06-29 08:00:00,18.9,91.0,0.3,2.5,24.0,100.0,0.0431999999999999,48001,3.618391433284647,288.45,119.70265865841546,288.45,1986.0789864700976,288.45,44.78413006432926,288.45,150.6796646000618,288.45,8,0.8660254037844387,-0.4999999999999998,180,0.04302223300453059,-0.99907411510223,6,1.2246467991473532e-16,-1.0,3,0,1,34.48949686044972,89.3659323201835,0.0017999999999999,0.0,0.0,0.0,0.0064285714285714,0.0064285714285714,0.01622854627764647,0.0431999999999999,24.0,0.8277479246507933,357.2099999999999,0,21.84
2023-06-29 09:00:00,19.1,92.0,0.4,7.6,44.0,98.0,0.0792,48001,3.618391433284647,288.45,119.70265865841546,288.45,1986.0789864700976,288.45,44.78413006432926,288.45,150.6796646000618,288.45,9,0.7071067811865476,-0.7071067811865475,180,0.04302223300453059,-0.99907411510223,6,1.2246467991473532e-16,-1.0,3,0,1,45.348030505942795,100.46168491343617,0.0431999999999999,0.0,0.0,0.0,0.015524999999999976,0.015524999999999976,0.029794330716717613,0.0792,44.0,1.995313342261483,364.81000000000006,0,40.48
2023-06-29 10:00:00,19.9,86.0,0.5,9.2,196.0,99.0,0.3528,48001,3.618391433284647,288.45,119.70265865841546,288.45,1986.0789864700976,288.45,44.78413006432926,288.45,150.6796646000618,288.45,10,0.49999999999999994,-0.8660254037844387,180,0.04302223300453059,-0.99907411510223,6,1.2246467991473532e-16,-1.0,3,0,1,55.74558106098261,114.7994980909216,0.0792,0.0017999999999999,0.0,0.0,0.05299999999999998,0.05299999999999998,0.11582797589529052,0.3528,196.0,10.926133887952592,396.00999999999993,0,168.56
2023-06-29 11:00:00,20.0,86.0,0.9,10.5,201.0,99.0,0.3618,48001,3.618391433284647,288.45,119.70265865841546,288.45,1986.0789864700976,288.45,44.78413006432926,288.45,150.6796646000618,288.45,11,0.258819045102521,-0.9659258262890682,180,0.04302223300453059,-0.99907411510223,6,1.2246467991473532e-16,-1.0,3,0,1,64.66956100081615,136.2251744762128,0.3528,0.0431999999999999,0.0,0.0,0.08387999999999998,0.08387999999999998,0.14649636172956654,0.3618,201.0,12.998581761164045,400.0,0,172.86
2023-06-29 12:00:00,20.4,84.0,0.4,10.2,302.0,100.0,0.5436,48001,3.618391433284647,288.45,119.70265865841546,288.45,1986.0789864700976,288.45,44.78413006432926,288.45,150.6796646000618,288.45,12,1.2246467991473532e-16,-1.0,180,0.04302223300453059,-0.99907411510223,6,1.2246467991473532e-16,-1.0,3,0,1,69.7242732424628,169.88772530720826,0.3618,0.0792,0.0,0.0,0.12567272727272727,0.12567272727272727,0.1962855526568835,0.5436,302.0,21.056730519223766,416.15999999999997,0,253.68
2023-06-29 13:00:00,20.4,83.0,0.3,10.5,231.0,100.0,0.4158,48001,3.618391433284647,288.45,119.70265865841546,288.45,1986.0789864700976,288.45,44.78413006432926,288.45,150.6796646000618,288.45,13,-0.2588190451025208,-0.9659258262890683,180,0.04302223300453059,-0.99907411510223,6,1.2246467991473532e-16,-1.0,3,0,1,67.93408413650131,208.36097511455245,0.5436,0.3528,0.0,0.0,0.14984999999999998,0.14984999999999998,0.20503647790753546,0.5436,231.0,15.692773435531803,416.15999999999997,0,191.73
2023-06-29 14:00:00,21.2,77.0,0.1,11.8,355.0,100.0,0.639,48001,3.618391433284647,288.45,119.70265865841546,288.45,1986.0789864700976,288.45,44.78413006432926,288.45,150.6796646000618,288.45,14,-0.4999999999999997,-0.8660254037844388,180,0.04302223300453059,-0.99907411510223,6,1.2246467991473532e-16,-1.0,3,0,1,60.54839996284119,235.58019115822708,0.4158,0.3618,0.0,0.0,0.18747692307692307,0.18747692307692307,0.23862488747630017,0.639,355.0,21.49468198680862,449.44,0,273.35
2023-06-29 15:00:00,20.0,82.0,0.5,9.8,170.0,98.0,0.306,48001,3.618391433284647,288.45,119.70265865841546,288.45,1986.0789864700976,288.45,44.78413006432926,288.45,150.6796646000618,288.45,15,-0.7071067811865471,-0.7071067811865479,180,0.04302223300453059,-0.99907411510223,6,1.2246467991473532e-16,-1.0,3,0,1,50.70633144313949,252.8463930968759,0.639,0.5436,0.0,0.0,0.19594285714285714,0.19594285714285714,0.23144136228389292,0.639,170.0,8.620076345333713,400.0,0,139.4
2023-06-29 16:00:00,20.7,77.0,0.3,14.1,299.0,99.0,0.5381999999999999,48001,3.618391433284647,288.45,119.70265865841546,288.45,1986.0789864700976,288.45,44.78413006432926,288.45,150.6796646000618,288.45,16,-0.8660254037844384,-0.5000000000000004,180,0.04302223300453059,-0.99907411510223,6,1.2246467991473532e-16,-1.0,3,0,1,39.99945474871842,265.25635632951605,0.306,0.4158,0.0,0.0,0.21875999999999998,0.21875999999999998,0.23989238301490823,0.639,299.0,11.959836969866808,428.48999999999995,0,230.23
2023-06-29 17:00:00,20.8,75.0,0.4,17.0,325.0,82.0,0.585,48001,3.618391433284647,288.45,119.70265865841546,288.45,1986.0789864700976,288.45,44.78413006432926,288.45,150.6796646000618,288.45,17,-0.9659258262890683,-0.25881904510252063,180,0.04302223300453059,-0.99907411510223,6,1.2246467991473532e-16,-1.0,3,0,1,29.10097045833436,275.51355454106175,0.5381999999999999,0.639,0.0,0.0,0.24164999999999998,0.24164999999999998,0.2491887477395398,0.639,325.0,9.457815398958667,432.64000000000004,0,243.75
2023-06-29 18:00:00,20.8,77.0,0.4,19.7,426.0,63.0,0.7667999999999999,48001,3.618391433284647,288.45,119.70265865841546,288.45,1986.0789864700976,288.45,44.78413006432926,288.45,150.6796646000618,288.45,18,-1.0,-1.8369701987210297e-16,180,0.04302223300453059,-0.99907411510223,6,1.2246467991473532e-16,-1.0,3,0,1,18.38417818638287,284.96761913577285,0.585,0.306,0.0,0.0,0.27254117647058823,0.27254117647058823,0.2728307054265143,0.7667999999999999,426.0,7.831659907399102,432.64000000000004,0,328.02
2023-06-29 19:00:00,20.1,78.0,0.4,19.5,289.0,55.0,0.5201999999999999,48001,3.618391433284647,288.45,119.70265865841546,288.45,1986.0789864700976,288.45,44.78413006432926,288.45,150.6796646000618,288.45,19,-0.9659258262890684,0.2588190451025203,180,0.04302223300453059,-0.99907411510223,6,1.2246467991473532e-16,-1.0,3,0,1,8.168859784441565,294.4113639562194,0.7667999999999999,0.5381999999999999,0.0,0.0,0.2863,0.2863,0.2710451340752723,0.7667999999999999,289.0,2.360800477703612,404.01000000000005,0,225.42
2023-06-29 20:00:00,19.3,84.0,0.4,18.8,243.0,97.0,0.4373999999999999,48001,3.618391433284647,288.45,119.70265865841546,288.45,1986.0789864700976,288.45,44.78413006432926,288.45,150.6796646000618,288.45,20,-0.8660254037844386,0.5000000000000001,180,0.04302223300453059,-0.99907411510223,6,1.2246467991473532e-16,-1.0,3,0,0,-1.2205120192277974,304.4093706435258,0.5201999999999999,0.585,0.0,0.0,0.2942526315789474,0.2942526315789474,0.26567968050187607,0.7667999999999999,0.0,-0.2965844206723548,372.49,0,204.12
